First,Run_Time,Third,Fourth,Fifth
9.2258,299.34,600,0.4989,0.0055066
8.914,285.68,572,0.49944,0.0055125
9.2364,296.65,596,0.49773,0.0054937
8.9095,286.78,576,0.49788,0.0054953
8.9852,294.14,586,0.50195,0.0055402
9.3765,296.7,596,0.49782,0.0054946
8.9647,294.16,584,0.5037,0.0055595
9.1381,291.71,586,0.4978,0.0054944
8.8211,275.3,552,0.49873,0.0055047
9.3568,303.03,604,0.50171,0.0055375
8.8419,286.15,574,0.49852,0.0055024
9.2318,295.89,594,0.49813,0.0054981
9.0977,300.79,604,0.498,0.0054966
8.9699,289.08,580,0.49841,0.0055012
9.2424,297.42,596,0.49903,0.005508
8.7715,281.66,566,0.49763,0.0054926
9.3054,299.03,596,0.50173,0.0055378
9.4529,306.54,614,0.49925,0.0055104
9.1692,296.85,596,0.49807,0.0054974
9.3558,299.88,602,0.49814,0.0054982
9.0121,286.76,576,0.49785,0.0054949
9.2038,298.65,600,0.49775,0.0054939
9.2376,290.86,584,0.49805,0.0054972
8.8464,284.58,572,0.49752,0.0054913
9.3082,299.84,606,0.49479,0.0054611
9.3034,295.03,596,0.49502,0.0054637
9.2517,297.29,596,0.49881,0.0055056
9.1364,294.04,594,0.49502,0.0054637
8.8491,284.91,570,0.49984,0.005517
8.9885,284.85,576,0.49453,0.0054583
9.2781,298.58,604,0.49434,0.0054562
9.2806,298.73,604,0.49459,0.0054589
9.2783,296.84,600,0.49473,0.0054606
8.9819,290.83,582,0.49971,0.0055155
8.7831,284.28,574,0.49526,0.0054664
9.1597,295.99,598,0.49497,0.0054631
9.4947,299.47,604,0.49581,0.0054725
9.5352,303.69,612,0.49623,0.005477
9.3046,301.99,604,0.49998,0.0055185
8.9073,285.71,572,0.49949,0.0055131
9.1542,289.31,584,0.49539,0.0054679
9.1157,296.92,600,0.49487,0.005462
8.8324,283.54,572,0.4957,0.0054712
8.8625,281.58,564,0.49926,0.0055105
8.9608,287.28,580,0.49531,0.0054669
8.952,286.03,578,0.49486,0.005462
9.417,299.29,604,0.49551,0.0054692
9.097,292.04,590,0.49498,0.0054633
9.1978,292.14,590,0.49515,0.0054652
9.1508,285.35,576,0.4954,0.0054679
9.2738,295.14,590,0.50024,0.0055213
9.335,298.78,604,0.49467,0.0054599
9.2394,297.16,596,0.49859,0.0055031
8.8901,281.67,568,0.4959,0.0054734
9.0717,287.27,576,0.49873,0.0055047
9.1347,292.44,586,0.49904,0.0055082
8.6815,282.92,566,0.49986,0.0055171
9.2901,298.58,598,0.4993,0.005511
9.4934,301.43,608,0.49577,0.005472
9.2511,295.54,596,0.49587,0.0054731
8.7578,281.9,568,0.4963,0.0054779
9.1428,290.27,586,0.49534,0.0054673
8.6217,275.95,552,0.49991,0.0055177
9.0347,286.37,578,0.49545,0.0054685
8.9808,289.91,580,0.49984,0.005517
9.1299,292.85,590,0.49636,0.0054785
9.114,292.76,586,0.49959,0.0055142
8.9833,286.65,572,0.50114,0.0055312
8.9846,286.72,580,0.49434,0.0054563
9.4561,303.24,612,0.49549,0.0054689
9.3228,298.06,602,0.49512,0.0054648
9.1842,297.08,600,0.49513,0.005465
9.3388,302.82,612,0.4948,0.0054614
10.149,302.81,612,0.49479,0.0054612
10.387,309.93,624,0.49668,0.0054821
10.119,295.01,600,0.49168,0.0054269
9.96,294.24,594,0.49535,0.0054674
9.6608,289.6,588,0.49252,0.0054361
9.8761,299.25,608,0.49219,0.0054325
9.7785,290.84,588,0.49463,0.0054594
9.8937,299.5,604,0.49586,0.005473
9.8257,295.22,600,0.49203,0.0054308
10.102,304.62,620,0.49132,0.0054229
10.018,298.75,600,0.49792,0.0054957
9.8799,296.94,596,0.49822,0.0054991
10.039,299.04,606,0.49347,0.0054466
10.67,330.37,662,0.49905,0.0055082
10.154,304.15,616,0.49375,0.0054497
9.9538,296.09,600,0.49348,0.0054468
10.156,309.79,620,0.49966,0.005515
9.8242,295.09,592,0.49846,0.0055017
9.8039,287.76,584,0.49274,0.0054386
9.919,293.32,594,0.4938,0.0054503
9.8139,293.43,592,0.49566,0.0054708
10.165,309.83,628,0.49336,0.0054454
9.9896,291.17,590,0.49351,0.0054471
9.8025,292.56,594,0.49253,0.0054362
9.5442,288.79,580,0.49791,0.0054957
9.7922,296.02,594,0.49835,0.0055005
9.85,292.7,592,0.49443,0.0054572
10.059,303.9,614,0.49495,0.005463
10.318,312.14,632,0.49389,0.0054513
9.8493,293.02,590,0.49664,0.0054817
9.8797,297.02,604,0.49175,0.0054277
9.7868,294.16,598,0.49191,0.0054294
10.002,300.68,612,0.49131,0.0054228
9.8711,295.43,602,0.49075,0.0054166
9.6842,294.26,594,0.49539,0.0054678
9.4835,284.7,580,0.49086,0.0054178
9.6671,289.43,588,0.49223,0.0054329
9.8713,295.09,602,0.49018,0.0054103
9.7775,293.59,594,0.49426,0.0054553
9.5447,283.89,570,0.49805,0.0054972
10.038,304.31,616,0.49401,0.0054526
9.8149,296.9,606,0.48993,0.0054076
10.649,316.2,644,0.49099,0.0054193
9.8986,299.24,602,0.49708,0.0054864
10.189,309.64,630,0.49149,0.0054248
10.141,301.58,614,0.49117,0.0054213
10.129,301.23,612,0.49221,0.0054327
9.8798,297.04,594,0.50007,0.0055194
10.308,300.52,610,0.49266,0.0054376
10.005,294.26,600,0.49043,0.0054131
10.293,302.8,616,0.49156,0.0054255
10.215,305.91,618,0.495,0.0054635
9.8657,287.79,582,0.49448,0.0054578
9.6096,288.44,588,0.49054,0.0054143
9.908,289.06,588,0.4916,0.005426
10.255,311.56,630,0.49454,0.0054584
9.8561,296.01,598,0.495,0.0054635
10.056,305.26,610,0.50043,0.0055234
10.315,325.11,646,0.50327,0.0055548
9.6173,294.1,600,0.49017,0.0054102
9.7298,287.24,586,0.49017,0.0054102
10.198,309.55,622,0.49767,0.005493
9.5705,282.51,574,0.49218,0.0054324
9.6976,291.55,592,0.49248,0.0054357
10.136,304.73,616,0.49469,0.0054601
9.913,293.83,598,0.49135,0.0054233
10.019,300.29,612,0.49067,0.0054157
9.4211,277.04,564,0.49121,0.0054216
9.9678,296.41,598,0.49567,0.0054709
10.188,305.68,624,0.48987,0.0054069
10.173,309.13,626,0.49382,0.0054505
9.6157,281.59,570,0.49402,0.0054527
10.08,303.1,616,0.49205,0.0054309
9.7475,292.95,596,0.49153,0.0054252
9.8969,298.67,610,0.48962,0.0054042
9.9356,299.41,610,0.49084,0.0054176
9.716,287.72,582,0.49436,0.0054565
9.8649,296.58,600,0.4943,0.0054558
10.075,301.11,606,0.49688,0.0054843
9.4529,277.4,562,0.49359,0.005448
10.063,297.29,598,0.49714,0.0054871
9.9431,293.85,594,0.4947,0.0054602
10.14,300.31,608,0.49393,0.0054517
10.005,298.42,608,0.49082,0.0054174
9.5235,279.14,570,0.48972,0.0054052
10.392,311.08,630,0.49378,0.00545
9.9117,295.88,604,0.48987,0.0054069
9.8537,295.79,604,0.48972,0.0054052
9.9177,288.13,584,0.49337,0.0054456
10.21,303.56,622,0.48804,0.0053867
10.042,296.76,608,0.48809,0.0053873
9.9673,300.22,610,0.49216,0.0054322
9.5315,280.85,576,0.48759,0.0053817
9.7582,290.35,594,0.4888,0.0053951
9.9728,299.8,608,0.49309,0.0054425
10.312,309.95,632,0.49043,0.005413
10.244,308.08,626,0.49214,0.005432
9.8126,298.26,600,0.4971,0.0054867
10.627,318.18,648,0.49102,0.0054196
10.153,306.74,624,0.49157,0.0054257
8.9189,334.31,628,0.53234,0.0058757
9.0619,335.11,632,0.53024,0.0058524
9.6771,359.93,684,0.52621,0.005808
9.9951,381.71,718,0.53163,0.0058678
10.784,408.3,768,0.53164,0.0058679
9.4262,344.54,650,0.53006,0.0058505
9.8937,369.19,700,0.52741,0.0058213
9.7599,364.69,686,0.53162,0.0058677
10.084,386.26,722,0.53499,0.0059049
9.5062,368.76,686,0.53755,0.0059332
9.6849,371.86,702,0.52972,0.0058467
9.942,376.12,708,0.53124,0.0058635
9.0094,343.3,644,0.53307,0.0058838
9.3208,352.05,664,0.5302,0.005852
9.5086,360.54,678,0.53177,0.0058694
9.5076,361.35,680,0.5314,0.0058652
9.7322,361.58,682,0.53018,0.0058518
10.859,408.47,770,0.53048,0.0058551
9.2588,352.02,660,0.53336,0.005887
9.2536,349.41,650,0.53755,0.0059332
9.3344,358,674,0.53116,0.0058626
9.2374,353.59,658,0.53737,0.0059312
10.508,404.49,760,0.53222,0.0058744
10.115,383.35,722,0.53096,0.0058604
10.229,389.98,738,0.52843,0.0058325
10.255,403.18,758,0.5319,0.0058708
9.5337,366.83,692,0.5301,0.0058509
8.8678,337.11,634,0.53172,0.0058688
10.67,411.18,776,0.52987,0.0058484
10.462,399.84,754,0.53029,0.005853
10.828,407.28,772,0.52756,0.0058229
10.421,408.43,762,0.536,0.005916
10.334,376.38,712,0.52862,0.0058346
9.0147,334.09,636,0.5253,0.0057979
9.8977,364.48,696,0.52368,0.00578
9.2882,342.26,650,0.52655,0.0058118
8.7981,331.7,628,0.52818,0.0058298
9.0502,335.71,638,0.52619,0.0058078
10.563,398.48,752,0.52989,0.0058487
9.6641,358.69,684,0.5244,0.005788
9.6224,355.94,678,0.52499,0.0057945
9.3741,357,678,0.52655,0.0058117
9.643,369.8,704,0.52528,0.0057978
10.407,388.99,738,0.52709,0.0058177
9.1105,348.19,656,0.53078,0.0058584
9.5916,363.58,692,0.5254,0.0057991
9.5218,357.61,678,0.52745,0.0058217
11.037,419.14,794,0.52788,0.0058265
9.5124,353.15,670,0.52709,0.0058177
9.6552,363.66,692,0.52552,0.0058004
10.574,398.36,760,0.52416,0.0057853
9.7213,372.48,708,0.5261,0.0058068
9.6853,366.39,692,0.52947,0.0058439
