First,Run_Time,Third,Fourth,Fifth
4.0181,68.28,270,0.25289,0.0057894
3.0494,51.81,208,0.24909,0.0057024
3.2716,55.03,220,0.25014,0.0057264
2.9778,50.45,202,0.24975,0.0057176
4.1421,71.63,284,0.25222,0.0057741
3.7585,64.33,256,0.25129,0.0057528
3.8049,66.27,262,0.25294,0.0057906
4.2601,71.39,284,0.25137,0.0057548
3.8698,65.5,260,0.25192,0.0057673
3.8036,64.85,258,0.25136,0.0057544
4.1097,70.07,278,0.25205,0.0057703
3.4771,60.38,240,0.25158,0.0057596
4.0054,65.13,258,0.25244,0.0057792
2.6245,44.51,180,0.24728,0.005661
4.8526,82.81,326,0.25402,0.0058153
4.1531,70.88,282,0.25135,0.0057542
4.1885,71.47,282,0.25344,0.0058021
3.5606,59.94,238,0.25185,0.0057656
3.6893,63.71,252,0.25282,0.0057878
3.1591,53.55,214,0.25023,0.0057287
3.9798,68.21,270,0.25263,0.0057835
3.4928,58.78,234,0.2512,0.0057507
3.3801,58.45,232,0.25194,0.0057677
3.2824,55,220,0.25,0.0057233
2.9004,50.15,200,0.25075,0.0057405
4.0942,69.47,276,0.2517,0.0057623
3.0868,53.67,214,0.25079,0.0057415
3.4293,57.09,228,0.25039,0.0057323
3.5909,61.54,240,0.25642,0.0058702
3.2829,58.31,228,0.25575,0.0058548
3.6018,58.94,234,0.25188,0.0057664
3.6398,64.12,254,0.25244,0.0057792
3.3067,55.13,220,0.25059,0.0057368
4.1298,70.23,278,0.25263,0.0057834
2.8826,49.84,200,0.2492,0.005705
3.982,66.62,264,0.25235,0.0057771
3.7399,64.07,254,0.25224,0.0057747
4.4262,74.34,294,0.25286,0.0057887
2.701,45.7,184,0.24837,0.005686
4.2509,74.98,294,0.25503,0.0058386
3.601,60.77,242,0.25112,0.0057489
3.1335,53.24,212,0.25113,0.0057492
3.8905,64.32,256,0.25125,0.0057519
3.817,66.14,262,0.25244,0.0057792
3.6779,60.63,242,0.25054,0.0057356
2.4926,43.34,176,0.24625,0.0056375
3.6088,62.23,246,0.25297,0.0057912
3.6485,60.53,240,0.25221,0.0057739
3.2373,55.98,222,0.25216,0.0057728
3.5484,60.1,240,0.25042,0.0057329
3.8531,66.78,264,0.25295,0.005791
3.8098,63.95,254,0.25177,0.0057639
2.8311,47.59,192,0.24786,0.0056744
3.9965,69,274,0.25182,0.0057651
3.4854,56.59,226,0.2504,0.0057324
4.7898,80.53,318,0.25324,0.0057975
4.0034,68.12,270,0.2523,0.0057759
3.1847,55.53,222,0.25014,0.0057264
3.4915,59.16,236,0.25068,0.0057388
4.0154,68.35,266,0.25695,0.0058825
3.2898,56.04,224,0.25018,0.0057274
3.5247,59.91,238,0.25172,0.0057628
3.0096,52.19,208,0.25091,0.0057442
3.303,56.06,224,0.25027,0.0057294
2.7274,47.51,192,0.24745,0.0056649
3.086,52.82,212,0.24915,0.0057039
3.7847,65.05,258,0.25213,0.0057721
2.8951,50.07,198,0.25288,0.0057892
3.2544,55.91,224,0.2496,0.0057141
3.3166,56.92,226,0.25186,0.0057659
2.7311,46.75,188,0.24867,0.0056929
2.8386,48.1,194,0.24794,0.0056761
3.609,61.24,244,0.25098,0.0057458
3.6354,62.11,246,0.25248,0.0057801
4.0917,69.84,276,0.25304,0.005793
3.6917,62.61,248,0.25246,0.0057796
4.1621,71.43,282,0.2533,0.0057988
4.1715,67.89,270,0.25144,0.0057564
4.1582,71.13,282,0.25223,0.0057745
3.5131,59.53,238,0.25013,0.0057262
3.1138,53.07,212,0.25033,0.0057309
3.853,65.48,260,0.25185,0.0057656
2.9857,52.3,210,0.24905,0.0057015
3.2198,55.45,222,0.24977,0.0057182
3.7504,63.74,254,0.25094,0.0057449
3.4601,58.53,232,0.25228,0.0057756
4.2985,73.62,292,0.25212,0.0057719
4.5986,80.16,316,0.25367,0.0058074
5.0064,83.86,332,0.25259,0.0057826
3.1422,53.71,214,0.25098,0.0057458
2.9464,51.26,206,0.24883,0.0056966
3.6513,64.66,256,0.25258,0.0057823
3.0445,52.87,212,0.24939,0.0057093
2.8426,49.52,198,0.2501,0.0057256
3.377,58.2,228,0.25526,0.0058438
3.7304,63.34,252,0.25135,0.0057542
3.9777,67.24,262,0.25664,0.0058754
2.2973,41.38,168,0.24631,0.0056388
3.7486,65.15,254,0.2565,0.005872
3.7524,64.28,254,0.25307,0.0057936
9.2919,247.07,600,0.41178,0.0054451
8.9905,238.13,580,0.41057,0.005429
9.2839,251.35,598,0.42032,0.0055579
9.0352,238.69,582,0.41012,0.0054231
8.745,234.29,566,0.41394,0.0054736
8.9992,236.89,574,0.4127,0.0054572
9.0483,239.58,584,0.41024,0.0054247
9.2513,246.23,600,0.41038,0.0054266
9.1786,242.51,584,0.41526,0.005491
8.8304,237.8,574,0.41429,0.0054782
8.7353,231.97,562,0.41276,0.005458
8.9459,236.04,574,0.41122,0.0054376
9.3203,248.28,604,0.41106,0.0054355
8.9344,235.1,570,0.41246,0.005454
9.4024,249.58,608,0.41049,0.005428
9.4667,255.29,620,0.41176,0.0054447
8.9017,235.03,572,0.41089,0.0054333
9.0432,239.63,584,0.41033,0.0054258
9.0762,242.68,592,0.40993,0.0054206
9.6315,255.09,616,0.41411,0.0054758
9.2178,246.17,598,0.41166,0.0054434
8.7023,234,570,0.41053,0.0054284
9.3197,245.97,600,0.40995,0.0054208
9.1638,244.69,592,0.41333,0.0054655
9.3922,248.88,602,0.41342,0.0054667
9.1205,242.68,592,0.40993,0.0054206
9.2783,244.5,596,0.41023,0.0054246
9.0629,243.78,594,0.4104,0.0054268
9.3713,247.05,598,0.41313,0.0054628
8.7971,233.16,564,0.4134,0.0054665
8.9952,240.93,586,0.41114,0.0054366
9.0344,238.45,580,0.41112,0.0054363
9.1449,246.55,596,0.41367,0.0054701
9.059,240.18,582,0.41268,0.0054569
9.0416,236.28,576,0.41021,0.0054242
9.2754,246.52,596,0.41362,0.0054694
9.3384,243.19,592,0.41079,0.005432
9.0226,238.36,580,0.41097,0.0054343
8.9463,237.09,570,0.41595,0.0055001
8.6815,229.17,556,0.41218,0.0054503
8.8892,233.75,568,0.41153,0.0054417
8.8891,236.75,576,0.41102,0.005435
9.0739,236.23,574,0.41155,0.005442
9.2295,245.61,598,0.41072,0.005431
9.293,243.03,592,0.41052,0.0054284
9.548,254.51,620,0.4105,0.0054281
9.3008,245.27,598,0.41015,0.0054235
9.0812,241.06,582,0.41419,0.0054769
9.246,245.14,596,0.41131,0.0054388
9.3656,249.62,608,0.41056,0.0054289
